Aa	Ao	Fn	Pg	Sg	So	Va
K01560	K01735	K01715	K01802	K01647	K01736	K01740
K01571	K01738	K01726	K01803	K01649	K01737	K01744
K01572	K01739	K01733	K01808	K01652	K01738	K01746
K01573	K01740	K01736	K01809	K01653	K01739	K01749
K01586	K01744	K01738	K01810	K01657	K01740	K01752
K01591	K01752	K01739	K01834	K01658	K01752	K01754
K01599	K01754	K01740	K01835	K01673	K01754	K01755
K01610	K01755	K01745	K01840	K01681	K01755	K01756
K01613	K01759	K01746	K01843	K01687	K01756	K01759
K01619	K01768	K01749	K01844	K01689	K01759	K01760
K01624	K01772	K01751	K01847	K01693	K01772	K01772
K01625	K01776	K01752	K01866	K01695	K01775	K01775
K01626	K01778	K01754	K01867	K01696	K01776	K01776
K01627	K01784	K01756	K01868	K01703	K01783	K01778
K01633	K01788	K01759	K01869	K01704	K01784	K01783
K01635	K01791	K01761	K01870	K01710	K01785	K01784
K01639	K01792	K01770	K01872	K01712	K01788	K01791
K01643	K01802	K01775	K01873	K01714	K01790	K01803
K01644	K01803	K01776	K01874	K01733	K01791	K01808
K01646	K01808	K01779	K01875	K01735	K01803	K01810
K01652	K01809	K01783	K01876	K01736	K01807	K01814
K01657	K01810	K01784	K01880	K01738	K01809	K01821
K01658	K01817	K01785	K01881	K01739	K01810	K01835
K01661	K01818	K01788	K01883	K01740	K01817	K01839
K01662	K01823	K01790	K01885	K01745	K01819	K01845
K01664	K01834	K01791	K01886	K01746	K01821	K01847
K01665	K01835	K01802	K01887	K01752	K01823	K01848
K01668	K01840	K01803	K01889	K01754	K01834	K01849
K01673	K01845	K01808	K01890	K01755	K01835	K01866
K01679	K01866	K01810	K01892	K01756	K01839	K01867
K01686	K01867	K01834	K01893	K01759	K01854	K01868
K01689	K01868	K01835	K01897	K01772	K01866	K01869
K01695	K01869	K01838	K01912	K01775	K01867	K01870
K01696	K01870	K01843	K01918	K01776	K01868	K01872
K01698	K01872	K01844	K01921	K01783	K01869	K01873
K01710	K01873	K01845	K01923	K01784	K01870	K01874
K01711	K01874	K01846	K01924	K01785	K01872	K01875
K01714	K01875	K01866	K01925	K01788	K01873	K01876
K01716	K01876	K01867	K01926	K01790	K01874	K01878
K01719	K01880	K01868	K01928	K01803	K01875	K01879
K01733	K01881	K01869	K01929	K01807	K01876	K01881
K01734	K01885	K01870	K01933	K01809	K01878	K01883
K01735	K01887	K01872	K01934	K01810	K01879	K01885
K01736	K01889	K01873	K01935	K01814	K01881	K01886
K01737	K01890	K01874	K01937	K01817	K01883	K01887
K01738	K01892	K01875	K01938	K01819	K01887	K01889
K01739	K01897	K01876	K01939	K01821	K01889	K01890
K01744	K01902	K01878	K01945	K01823	K01890	K01892
K01749	K01915	K01879	K01950	K01834	K01892	K01897
K01752	K01918	K01881	K01951	K01835	K01893	K01906
K01755	K01921	K01883	K01952	K01839	K01914	K01911
K01756	K01923	K01884	K01953	K01866	K01915	K01915
K01759	K01928	K01885	K01955	K01867	K01916	K01916
K01760	K01929	K01887	K01956	K01868	K01921	K01917
K01766	K01933	K01889	K01960	K01869	K01922	K01918
K01772	K01934	K01890	K01972	K01870	K01923	K01921
K01775	K01938	K01892	K01990	K01872	K01924	K01923
K01776	K01939	K01893	K01991	K01873	K01925	K01924
K01778	K01940	K01897	K01992	K01874	K01926	K01925
K01783	K01945	K01910	K01993	K01875	K01928	K01928
K01784	K01951	K01914	K01995	K01876	K01929	K01929
K01785	K01952	K01915	K01997	K01878	K01933	K01933
K01786	K01953	K01916	K01998	K01879	K01934	K01934
K01788	K01955	K01921	K01999	K01881	K01937	K01935
K01792	K01956	K01923	K02003	K01883	K01938	K01937
K01803	K01972	K01924	K02004	K01887	K01939	K01938
K01805	K01990	K01925	K02005	K01889	K01940	K01939
K01807	K01992	K01928	K02013	K01890	K01945	K01940
K01809	K02000	K01929	K02014	K01892	K01951	K01945
K01810	K02001	K01933	K02015	K01893	K01952	K01951
K01812	K02002	K01934	K02016	K01915	K01955	K01952
K01816	K02003	K01935	K02049	K01916	K01956	K01955
K01834	K02004	K01938	K02050	K01919	K01961	K01956
K01840	K02013	K01939	K02051	K01921	K01962	K01958
K01845	K02015	K01945	K02065	K01922	K01963	K01972
K01866	K02016	K01951	K02066	K01923	K01972	K01989
K01867	K02020	K01952	K02067	K01924	K01989	K01991
K01868	K02025	K01955	K02078	K01925	K01990	K01995
